format,urlkey,timestamp,original,mimetype,statuscode,digest,version,album,artist,composer,genre,duration,audioCompressor,audioSampleRate,releaseDate,content_length,sha256,sha512,top_word,top_word_count,language,redirect,robotflags,length,offset,filename,date_created,data_modified,hasAudio,hasVideo,height,width,title,author,last_author,company,creation_date,last_modified,revision_number,slide_count,word_Count,comments,template,pdf_version,pdf_generator,pdf_encoder,page_count
audio,ca3.uscourts.gov/oralargument/audio/11-3250johnsonvfolinoetal.wma,2.02E+13,http://www2.ca3.uscourts.gov/Oralargument/audio/11-3250JohnsonvFolinoEtAl.wma,audio/x-ms-wma,200,4KJLUYEGVWXBJ52IL52KFIGSX57QKSIW,-,-,-,-,-,-,-,-,-,21423499,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41,b5605ca294dcd8709580e188b2bd18f4a777d68918ac994511aafb29e268af89cedeb836dd79e36bd7c2c2655b8f85e05a505ab5738e43fb492c5c084ed77853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio,aging.senate.gov/000727.ram,2.00E+13,http://aging.senate.gov:80/000727.ram,audio/x-pn-realaudio,200,QOWERNEYQVHJWI6V6QURDW4CRQQW7KVG,-,-,-,-,-,-,-,-,-,79,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500,a611a3f54f53bc8dbb578d932f580e8ca9f3d5d3c85d3217ea02400bd3d45e51ad0311c47912e386673c9c3565587761479d6f066a98075578adb4595263375f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio,gsa.gov/graphics/admin/mj_telework_exchange_final_100710.mp3,2.02E+13,https://www.gsa.gov/graphics/admin/mj_telework_exchange_final_100710.mp3,audio/mpeg,200,KZRZGR4VHRJTXKFSFZJBUO5OW4PNWNGM,MPEG 3 Layer III Version 1,-,-,-,-,108480,MP3,48000,-,3471488,8c276e00edc5e771559fc0970fdc688ace0c9f127d4ab4e6a4652acb705ff160,98f09506223b2e5627c48c627f5b97033e28d2ea789fef82f3657183f983705fecde27bc2a568399b7852a6f727321590930d5f14872ca50174bb7d22e32fc3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio,audioarchives.oc.usda.gov/audio/newsline/mp3/newsline_802af71f439d401585c6fcb02f358307.mp3,2.01E+13,http://audioarchives.oc.usda.gov/audio/newsline/mp3/NEWSLINE_802AF71F439D401585C6FCB02F358307.MP3,audio/mpeg,200,XEX3OD3KZMTKJZYTRZXFC6KBSK7LRSRC,MPEG 3 Layer III Version 1,-,-,-,-,59923.76953,MP3,44100,2009,961195,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730,d92afa52145b0b40f3ca8e55d517b72b0dd812eb231ad9d954cdd6e73d9c163eed30babf26723bf8423216652db94e1e3a0cedc9f1209571b54dac7abe909439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video,accessdata.fda.gov/videos/cfsan/vlwhcssc.asx,2.01E+13,http://www.accessdata.fda.gov/videos/CFSAN/vlwhcssc.asx,video/x-ms-asf,200,EG4JFXXTFN5EVFQHSLVK5M4AEJWRVRYN,,,,,,-,,,,367,,,labeling,3,en,-,-,-,682572797,LOC-WEEKLY-051-20100806100615-00087-crawling107.us.archive.org.warc.gz,-,-,-,-,-,-,,,,,,,,,,,,,,,
video,fhwa.dot.gov/planning/freight_planning/talking_freight/oct17cc.asx,2.02E+13,http://www.fhwa.dot.gov/planning/freight_planning/talking_freight/oct17cc.asx,video/x-ms-asf,200,NJCURW4RLTD7RJ7XTWFHP4PFJMM2LKYG,,,,,,-,,,,106945,,,freight,47,en,-,-,-,410002480,LOC-QUARTERLY-004-20161003194725709-20311-26941~wbgrp-crawl202.us.archive.org~8443.warc.gz,-,-,-,-,-,-,,,,,,,,,,,,,,,
video,hasc3.house.gov/04-04-21full.asf,2.01E+13,http://hasc3.house.gov/04-04-21full.asf,video/x-ms-asf,200,H4OM6VK7YXMJWHTQT3L5U7IMXCXTH7ZF,,,,,,-,,,,101,,,full,2,en,-,-,-,10079552,CONGRESS-0507-20050724150033-00361-crawling004.archive.org.arc.gz,-,-,-,-,-,-,,,,,,,,,,,,,,,
video,nco.ncep.noaa.gov/pmb/codes/nwprod/glmp.v2.0.0/fix/meld_eqns/glmp_cig.eq.wm.p20.t12z,2.02E+13,http://www.nco.ncep.noaa.gov/pmb/codes/nwprod/glmp.v2.0.0/fix/meld_eqns/glmp_cig.EQ.wm.p20.t12z,video/x-ms-wm,200,ZT5QVF72HO2MOD3AQHKH24HYPKEODNSM,,,,,,-,,,,8296,,,stalist,1,es,-,-,-,820945953,LOC-QUARTERLY-008-20170701035221238-15741-5797~wbgrp-crawl202.us.archive.org~8443.warc.gz,-,-,-,-,-,-,,,,,,,,,,,,,,,
image,afrsweb.usda.gov/is/graphics/photos/mar98/k7989-7x.jpg,2.01E+13,http://afrsweb.usda.gov/is/graphics/photos/mar98/k7989-7x.jpg,image/jpeg,200,5EQWGQMFJESF54TKOLX53LO3RNDHIDW4,,,,,,,,,,7864,,,,,,,,,4907134,LOC-WEEKLY-013-20091114061721-01494-crawling110.us.archive.org.warc.gz,,,,,108,72,,,,,,,,,,,,,,,
image,cdc.gov/mmwr/preview/mmwrhtml/figures/m237a2f.gif,2.01E+13,http://www.cdc.gov/mmwr/preview/mmwrhtml/figures/m237a2f.gif,image/gif,200,OI7OGBFPMW5UJLYQGOEAI2MSY6EHIQVH,,,,,,,,,,7376,,,,,,,,,65028987,LOC-CRISIS-IN-DARFUR-2006-08-20060419171111-00693-crawling001.archive.org.arc.gz,,,,,241,333,,,,,,,,,,,,,,,
image,docs.house.gov/tobacco/docs/pm/1005107061.tif,2.00E+13,docs.house.gov,image/tiff,200,XUMVTZKOXSABALQY7ZCR4GC44MPNOPS5,,,,,,,,,,395734,,,,,,,,,34151839,unique.20010617095050.arc.gz,,,,,3296,2544,,,,,,,,,,,,,,,
image,loc.gov/exhibits/cwaj/images/credits/13080t.jpg,2.01E+13,http://www.loc.gov/exhibits/cwaj/images/credits/13080t.jpg,image/jpeg,200,56XOXL4SQ7J5B6IVMW7SP6SK62ZWG2NH,,,,,,,,,,3764,,,,,,,,,61223803,CONGRESS-047-20071202210620-02034-crawling08.us.archive.org.arc.gz,,,,,66,125,,,,,,,,,,,,,,,
image,response.restoration.noaa.gov/sites/default/files/images/13/orca.via_.moc_.noaa_.jpg?1332535592,2.02E+13,http://response.restoration.noaa.gov/sites/default/files/images/13/orca.via_.moc_.noaa_.jpg?1332535592,image/jpeg,200,NEGP6LENVPZBDOB5I5YI3JJIXVJ43MDR,,,,,,,,,,82546,,,,,,,,,520630458,LOC-QUARTERLY-006-20161209014415029-00910-29402~wbgrp-crawl202.us.archive.org~8443.warc.gz,,,,,340,472,,,,,,,,,,,,,,,
pdf,calepa.ca.gov/envjustice/actionplan/documents/august2004/pfchej.pdf,2.01E+13,http://www.calepa.ca.gov/EnvJustice/ActionPlan/Documents/August2004/PFCHEJ.pdf,application/pdf,200,LISLIIWKCPDORVIL5YZ6XJT75GRUA6EJ,,,,,,,,,,10577,,,midway,23,en,,,,742262364,LOC-WEEKLY-040-20100526093717-00602-crawling16.us.archive.org.warc.gz,,,,,792,612,,,,,2004-09-15T19:48:21Z,,,,,,,1.4,Acrobat PDFMaker 5.0 for Word,Acrobat Distiller 5.0 (Windows),2
pdf,iowa.gov/educate/index2.php?option=com_kb&task=pdf&articleid=561&itemid=26&pop=1&page=0&no_html=1,2.01E+13,http://www.iowa.gov/educate/index2.php?option=com_kb&task=pdf&articleid=561&Itemid=26&pop=1&page=0&no_html=1,application/pdf,200,OR7ZKPM4CJX3BNIVUDQXFVBICZ7A7QDV,,,,,,,,,,1538,,,reserved,3,en,,,,12277486,LOC-E06-CRAWL-24-20061121132540-04880-crawling02.us.archive.org.arc.gz,,,,,842,595,,,,,-,,,,,,,1.3,"R and OS php pdf writer, http://www.ros.co.nz",-,1
pdf,law.umich.edu/library/news/topics/roberts/opinions/01-1480.pdf,2.01E+13,http://www.law.umich.edu/library/news/topics/roberts/opinions/01-1480.pdf,application/pdf,200,7DAAN7ZF6CYLJ33XE3EJTIFAH4ET75GT,,,,,,,,,,49088,,,ncri,83,en,,,,66760419,LOC-SUPREME-COURT-2005-01-20050906204222-00014-crawling001.archive.org.arc.gz,,,,,792,612,,,,,2004-07-08T17:18:40Z,,,,,,,1.3,-,Acrobat Distiller 5.0 (Windows),12
