AppNumber,Applicant Type,First Name,Middle Name,Last Name,Name Suffix,Institution,Full Address,City,State,Postal Code,Country,Council Date,Year Awarded,Project Title,Category,Program,Division,Approved Outright,Approved Matching,Award Outright,Award Matching,Original Amount,Begin Grant,End Grant,Project Description,To Support Statement,Supplement Amount,Supplement Count,Supplementary Fields need work (may repeat?)
RC-0858-77,O,James,S.,Aagaard,,Northwestern University,Evanston IL 60208,Evanston,IL,60208,USA,1977-05,1977,Proposal to Establish National Center for the Control of Bibliographic Data,Humanities,Reference Materials - Access,Preservation and Access,"$127,445.00","$74,500.00","$127,445.00","$74,500.00","$201,945.00",7/1/77,12/31/81,,,,0,-
GD-0110-79,O,Daniel,,Aaron,,Library of America,New York NY 10023,New York,NY,10023,USA,1900-01,1979,PLANNING FOR THE LITERARY CLASSICS OF THE UNITED STATES SERIES,"Literature, General",Public Programs Special Projects (GD),Public Programs,"$17,500.00",$0.00,"$17,500.00",$0.00,"$17,500.00",11/1/78,5/31/79,,To publish a durable paperback edition of American classics.,,0,-
EC-0751-77,O,Ann,J.,Abadie,,"University of Mississippi, Main Campus",University MS 38677,University,MS,38677,USA,1977-02,1977,Consultant Grant,Humanities,Education Consultant Grants,Education Programs,"$3,898.00",$0.00,"$3,898.00",$0.00,"$3,898.00",5/15/77,2/28/79,,,,0,-
RE-1129-77,O,William,W.,Abbot,,University of Virginia,Charlottesville VA 22904,Charlottesville,VA,22904,USA,1977-08,1977,The Papers of George Washington,Humanities,Editions,Research Programs,$0.00,"$80,000.00",$0.00,"$80,000.00","$80,000.00",10/1/77,9/30/79,,,,0,-
RE-1470-79,O,William,W.,Abbot,,University of Virginia,Charlottesville VA 22904,Charlottesville,VA,22904,USA,1979-05,1979,The Papers of George Washington,Humanities,Editions,Research Programs,$0.00,"$79,143.63",$0.00,"$79,143.63","$79,143.63",10/1/79,9/30/81,,To edit the papers of George Washington.,,0,-
RP-0530-79,O,Richard,M.,Abel,,University of Minnesota Press,Minneapolis MN 55455,Minneapolis,MN,55455,USA,1979-02,1979,"Publication of ""Iceland: The First New Society"", by Richard F. Tommasson","History, General",Scholarly Publications,Research Programs,"$3,060.00",$0.00,"$3,060.00",$0.00,"$3,060.00",3/1/79,2/29/80,,To publish a study of the various aspects of the history of Iceland and of contemporary Icelandic life and culture.,,0,-
GM-1177-77,O,Paul,P.,Abrahams,,National Railroad Museum,Green Bay WI 54301,Green Bay,WI,54301,USA,1977-08,1977,National Railroad Museum Planning Projec t,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$8,785.72",$0.00,"$8,785.72",$0.00,"$8,785.72",12/1/77,11/1/79,,,,0,-
RC-0049-76,O,Dina,,Abramowicz,,YIVO Institute for Jewish Research,New York NY 10028,New York,NY,10028,USA,1975-02,1976,CATALOGUING AND PRESERVATION OF LIBRARY AND ARCHIVAL COLLECTIONS,Humanities,Reference Materials - Access,Preservation and Access,"$205,280.00",$0.00,"$205,280.00",$0.00,"$205,280.00",10/1/75,1/31/79,,,,0,-
RC-0209-79,O,Dina,,Abramowicz,,YIVO Institute for Jewish Research,New York NY 10028,New York,NY,10028,USA,1982-02,1979,Completion of Yiddish Book Cataloging for Union List of Yiddica,Jewish Studies,Reference Materials - Access,Preservation and Access,"$91,270.00","$10,000.00","$91,270.00","$10,000.00","$101,270.00",2/1/79,7/31/82,,To support completion of a catalog of Yiddish books.,,0,-
ED-0908-79,O,Natalie,,Abrams,,New York University School of Medicine,New York NY 10016,New York,NY,10016,USA,1979-05,1979,Philosophy and Medicine Program,"History and Philosophy of Science, Technology, and Medicine; Ethics",Education Development and Demonstration,Education Programs,"$247,681.00",$0.00,"$247,456.39",$0.00,"$247,456.39",9/1/79,2/28/83,,"To develop a program of philosophy and medicine integrated with existing 4 yearmedical curriculum and residency training program. It emphasizes the ethical dimensions of medical care, teaching students methods of moral reasoning and concepts of ethical theory. Proj. Director",,0,-
FS-1239-77,O,Richard,M.,Abrams,,"University of California, Berkeley",Berkeley CA 94720,Berkeley,CA,94720,USA,1977-08,1977,BUSINESS IN THE HISTORY OF AMERICAN SOCIETY,Humanities,Seminars for College Teachers,Education Programs,"$44,031.00",$0.00,"$44,031.00",$0.00,"$44,031.00",1/1/79,12/31/79,,,,0,-
GM-1554-78,O,Mildred,W.,Abshier,,Waller County Historical Commission,Brookshire TX 77423,Brookshire,TX,77423,USA,1978-05,1978,Research and Preparation of Exhibits for Waller County Historical Museum,Humanities,"Museums and Historical Organizations, Humanities Projects in",Public Programs,"$1,500.00",$0.00,"$1,500.00",$0.00,"$1,500.00",8/1/78,3/31/79,,,,0,-
RT-1003-79,O,Vincent,J.,Aceto,,(DO NOT USE) Research Foundation of SUNY,Albany NY 12201,Albany,NY,12201,USA,1979-05,1979,Production of Film Literature Index,Humanities,Reference Materials - Tools,Preservation and Access,"$75,000.00",$0.00,"$75,000.00",$0.00,"$75,000.00",9/1/79,8/31/81,,"To produce and update ""Film Literature Index,"" a comprehensive film periodical index available to the general public and the film scholar.",,0,-
GZ-0755-79,O,Andrew,Scott,Ackerman,,Jewish Museum,New York NY 10128,New York,NY,10128,USA,1979-02,1979,Networks to Antiquity: Education in Archaeology,Archaeology,Humanities Projects for Youth,Public Programs,"$21,242.00",$0.00,"$18,615.59",$0.00,"$18,615.59",5/7/79,7/31/80,,"To implement a program in which young people will design educational programs and outreach mini-exhibits for their peers based on the museum's archaeology exhibit. Mini-exhibits will focus on everyday life, values and cultures of antiquity.",,0,-
EH-1410-78,O,James,S.,Ackerman,,Harvard University,Cambridge MA 2138,Cambridge,MA,2138,USA,1978-08,1978,"Film on the Architecture of Andrea Palladio, 1508-80, and His Influence in the U.S.",American Studies; Architecture,Institutes for College and University Teachers,Education Programs,"$47,939.00",$0.00,"$47,939.00",$0.00,"$47,939.00",10/1/78,8/31/80,,To review the work of the most influential architect of the last 500 years and to show Palladios influence on American architecture from the 18th Century to the present. Proj. Director,,0,-
ED-0652-78,O,Terrence,F.,Ackerman,,"University of Tennessee, Knoxville",Knoxville TN 37996,Knoxville,TN,37996,USA,1978-02,1978,A Comprehensive Clinical Humanities Residency for Medical Educators,Humanities,Education Development and Demonstration,Education Programs,"$493,012.00",$0.00,"$481,383.11",$0.00,"$481,383.11",7/1/78,9/30/84,,,,0,-
CE-1023-78,O,Bernard,S.,Adams,,Ripon College,Ripon WI 54971,Ripon,WI,54971,USA,1978-05,1979,Challenge Grant,Humanities,Education Challenge Grants,Challenge Grants,$0.00,"$500,000.00",$0.00,"$500,000.00","$500,000.00",10/1/77,6/30/82,,,,0,-
